"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","signif","color_grp"
"NAALADL2-AS1",-0.00274224654139996,0.00498418367346939,-0.497067281470202,0.619703109453836,0.794853104937175,-6.06671638643623,"NS","NS"
"PTGES3L-AARSD1",0.253618645467678,5.28583826530612,0.497047360251929,0.61971713133491,0.794853104937175,-6.06672591327845,"NS","NS"
"OTX1",0.0295840388189139,0.0570688775510204,0.496907978810435,0.619815241181399,0.794935378368713,-6.06679255843845,"NS","NS"
"SNORA5B",-0.208090832128846,4.60857397959184,-0.496783253784952,0.619903040238913,0.794936296194183,-6.06685217983667,"NS","NS"
"CNKSR2",-0.111645901300846,0.780935204081633,-0.496729617798045,0.619940798487789,0.794936296194183,-6.06687781446809,"NS","NS"
"SPATA3-AS1",0.00442989882304357,0.00780204081632653,0.496727722126296,0.619942133006662,0.794936296194183,-6.06687872042957,"NS","NS"
"HS6ST2",0.314141689035722,1.12451326530612,0.496713969947086,0.619951814331657,0.794936296194183,-6.06688529263741,"NS","NS"
"PCBD2",-0.0864760272558345,1.64880510204082,-0.496613437378536,0.620022589747315,0.794983494742846,-6.06693333194226,"NS","NS"
"EXOC3L2",-0.0355097253768325,0.251740816326531,-0.496513940818052,0.620092639300911,0.795029757482214,-6.06698086664369,"NS","NS"
"LINC02108",-0.0041028288251084,0.00649387755102041,-0.496292439851253,0.620248597305696,0.795141170508479,-6.06708665510591,"NS","NS"
"APP",1.04056925459426,15.1274454081633,0.496137679955762,0.620357573385222,0.795141170508479,-6.06716054021457,"NS","NS"
"CSNK1A1",-1.19327136072682,30.3930530612245,-0.496126823267745,0.620365218570651,0.795141170508479,-6.06716572252657,"NS","NS"
"SCN10A",-0.002690253974809,0.00509744897959184,-0.496105313765688,0.620380365497306,0.795141170508479,-6.0671759894997,"NS","NS"
"OR5M9",-0.00297375593640306,0.00303520408163265,-0.496102347496004,0.620382454348228,0.795141170508479,-6.06717740533268,"NS","NS"
"PLXDC1",-0.0529824075985961,0.404405102040816,-0.496099250759603,0.620384635077271,0.795141170508479,-6.06717888342982,"NS","NS"
"PRKD2",5.98462483997521,95.5970515306122,0.496052795894463,0.620417349105997,0.795141170508479,-6.06720105560537,"NS","NS"
"SNORD113-6",0.00471676646706587,0.00401887755102041,0.495927124851815,0.620505851833882,0.795211053067513,-6.06726102603646,"NS","NS"
"DSP-AS1",-0.00714460045426389,0.020705612244898,-0.495765499023115,0.62061968354422,0.795313386626833,-6.06733813187235,"NS","NS"
"KCNIP1",0.0567419574643815,0.0824188775510204,0.49559257745913,0.620741480884919,0.795391537280901,-6.06742059873854,"NS","NS"
"CTHRC1",-1.00052399339253,5.23814030612245,-0.495534984062128,0.620782049132826,0.795391537280901,-6.06744805885034,"NS","NS"
"ETNK1",-0.172055461490811,4.46175,-0.495513999505752,0.620796830746144,0.795391537280901,-6.06745806334268,"NS","NS"
"TIMP4",0.0347881891389635,0.070930612244898,0.49548592978696,0.620816603420103,0.795391537280901,-6.06747144506104,"NS","NS"
